,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr008350231-2011073133259_llc.fits,-0.406271591744192,0.7095912505128154,./Plots/kplr008350231-2011073133259_llc.png,KIC 8350231,0,0.0016584477808309981,#009999,#fde725,#a8db34,#1f77b4
kplr007265026-2011073133259_llc.fits,-0.43560103624934027,-0.2371646916377954,./Plots/kplr007265026-2011073133259_llc.png,KIC 7265026,0,0.0028719298732932594,#009999,#fbe723,#70cf57,#1f77b4
kplr011713018-2011073133259_llc.fits,-0.4668803918243789,2.6765803840685303,./Plots/kplr011713018-2011073133259_llc.png,KIC 11713018,0,0.0018334984491758179,#009999,#fde725,#9dd93b,#1f77b4
kplr008312388-2011073133259_llc.fits,0.3185583175349003,-2.2568320392041925,./Plots/kplr008312388-2011073133259_llc.png,KIC 8312388,0,0.004664954909613978,#009999,#f8e621,#46c06f,#1f77b4
kplr009100266-2011073133259_llc.fits,-0.5738598041047733,2.096524969713671,./Plots/kplr009100266-2011073133259_llc.png,KIC 9100266,0,0.0026619364332352595,#009999,#fbe723,#77d153,#1f77b4
kplr009575279-2011073133259_llc.fits,0.2694822100562096,-7.241352926496236,./Plots/kplr009575279-2011073133259_llc.png,KIC 9575279,0,0.008106747863465949,#009999,#f1e51d,#25ac82,#1f77b4
kplr007040826-2011073133259_llc.fits,-0.41553666768439973,-0.04809217691326027,./Plots/kplr007040826-2011073133259_llc.png,KIC 7040826,0,0.001911071200780871,#009999,#fde725,#9bd93c,#1f77b4
kplr008571421-2011073133259_llc.fits,0.004823535584530239,-3.3372919235623377,./Plots/kplr008571421-2011073133259_llc.png,KIC 8571421,0,0.004775467881130465,#009999,#f8e621,#44bf70,#1f77b4
kplr005732636-2011073133259_llc.fits,-0.19393532673775518,-1.4010857520204194,./Plots/kplr005732636-2011073133259_llc.png,KIC 5732636,0,0.0039151487008825935,#009999,#f8e621,#54c568,#1f77b4
kplr011086821-2011073133259_llc.fits,-0.6750756805079515,1.1321785255673438,./Plots/kplr011086821-2011073133259_llc.png,KIC 11086821,0,0.0018778803639117186,#009999,#fde725,#9bd93c,#1f77b4
kplr008320755-2011073133259_llc.fits,-0.487799760987132,2.336889440741559,./Plots/kplr008320755-2011073133259_llc.png,KIC 8320755,0,0.0017824363839704766,#009999,#fde725,#a0da39,#1f77b4
kplr006350182-2011073133259_llc.fits,-0.6391571496157878,1.4879681478544813,./Plots/kplr006350182-2011073133259_llc.png,KIC 6350182,0,0.001779185008031927,#009999,#fde725,#a2da37,#1f77b4
kplr011970988-2011073133259_llc.fits,-0.42774410456554623,-0.055134396731850784,./Plots/kplr011970988-2011073133259_llc.png,KIC 11970988,0,0.0025014085539579187,#009999,#fbe723,#7cd250,#1f77b4
kplr010147099-2011073133259_llc.fits,-0.2085020278668671,0.9653810194581858,./Plots/kplr010147099-2011073133259_llc.png,KIC 10147099,0,0.0025414243767346344,#009999,#fbe723,#7cd250,#1f77b4
kplr003647234-2011073133259_llc.fits,0.0006901984899718846,-4.565688768419659,./Plots/kplr003647234-2011073133259_llc.png,KIC 3647234,0,0.00565072113175959,#009999,#f6e620,#38b977,#1f77b4
kplr005784336-2011073133259_llc.fits,-0.5163791114487064,1.703680999006367,./Plots/kplr005784336-2011073133259_llc.png,KIC 5784336,0,0.0018793267004321886,#009999,#fde725,#9bd93c,#1f77b4
kplr005302122-2011073133259_llc.fits,-0.3204134193707181,2.297720396634644,./Plots/kplr005302122-2011073133259_llc.png,KIC 5302122,0,0.0016920252598965693,#009999,#fde725,#a8db34,#1f77b4
kplr010800534-2011073133259_llc.fits,-0.24299299786319206,2.4657369345288997,./Plots/kplr010800534-2011073133259_llc.png,KIC 10800534,0,0.002961148314059402,#009999,#fbe723,#6ece58,#1f77b4
kplr005384991-2011073133259_llc.fits,-0.16919186361549235,-1.7919272362874064,./Plots/kplr005384991-2011073133259_llc.png,KIC 5384991,0,0.0022931712539233525,#009999,#fbe723,#86d549,#1f77b4
kplr012118448-2011073133259_llc.fits,0.0601065443132132,-1.5701350607022175,./Plots/kplr012118448-2011073133259_llc.png,KIC 12118448,0,0.0030761163715896916,#009999,#fbe723,#69cd5b,#1f77b4
